1/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,0.8,  ,0.8
11/20/2014,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
12/17/2014,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.2
1/16/2015,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0,0.1,0.1
2/26/2015,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0
3/24/2015,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.2
4/17/2015,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
5/22/2015,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.2
6/18/2015,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.3
7/17/2015,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
8/19/2015,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
9/16/2015,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.1
10/15/2015,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.1
11/17/2015,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
12/15/2015,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
1/20/2016,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
2/19/2016,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.2
3/16/2016,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.3
4/14/2016,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.3
5/17/2016,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
6/16/2016,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
7/15/2016,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
8/16/2016,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
9/16/2016,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.1
10/18/2016,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.3
11/17/2016,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
12/15/2016,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
1/18/2017,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2/15/2017,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.2
3/15/2017,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.3
4/14/2017,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,-0.1,0.2,0.2
5/12/2017,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,-0.1
6/14/2017,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
7/14/2017,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
8/11/2017,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
9/14/2017,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
10/13/2017,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
11/15/2017,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
12/13/2017,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
1/12/2018,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.1
2/14/2018,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,evised From 0.3
3/13/2018,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.3
4/11/2018,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
5/10/2018,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
6/12/2018,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.1
7/12/2018,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
8/10/2018,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
9/13/2018,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
10/11/2018,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
11/14/2018,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
12/12/2018,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
1/11/2019,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2/13/2019,9:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
3/12/2019,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
4/10/2019,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
5/10/2019,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
6/12/2019,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
7/11/2019,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.1
8/13/2019,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.3
9/12/2019,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.3
10/10/2019,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.3
11/13/2019,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
12/11/2019,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
1/14/2020,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
2/13/2020,9:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
3/11/2020,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
4/10/2020,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,-0.1,0.1,0.2
5/12/2020,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,-0.4,-0.2,-0.1
6/10/2020,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,-0.1,-0.1,-0.4
7/14/2020,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,-0.1
8/12/2020,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.6,0.2,0.2
