1/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.5,  ,0.4
9/30/2011,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,0.3
10/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,5,  ,5
10/31/2011,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,0.2,0.3,0
11/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,5.5,  ,5
11/30/2011,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,0.2,0.2
12/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,5.4,  ,5.5
12/30/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.2
1/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4.9,  ,5.4
1/31/2012,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,0.1,0,0.1
2/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4.7,  ,4.9
3/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4.8,  ,4.7
3/5/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,0.7,0.1,vised From 0.1
3/30/2012,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,0.3,0.6,vised From 0.7
4/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4.2,  ,4.8
5/2/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,0.3,0.5,vised From 0.3
5/30/2012,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.3
6/28/2012,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,2.2,2.5,2.5
7/31/2012,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,-0.1,-0.2,-0.3
8/31/2012,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,-0.1
9/28/2012,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,2.7,2.5,2.1
10/31/2012,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,2.6,2.7,vised From 2.7
11/30/2012,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,2.3,2.7,2.6
12/28/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,-0.1,-0.2,-0.3
1/31/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,-0.1,-0.1
3/7/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,0.3,-0.2
3/29/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,0.3,0.7,0.7
5/2/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,0,-0.2,0.1
5/30/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,-0.1,0
6/28/2013,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.4
7/31/2013,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,0.3,-0.1,-0.1
8/30/2013,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,In Line with Expectation        ,% ,-0.9,-0.9,-0.7
9/30/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,vised From 0.1
10/31/2013,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,-1.8,-2.1,vised From -2.0
11/29/2013,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-2.2,-1.5,-1.8
12/30/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.1,  ,vised From -1.0
2014/01/31,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,-1.8,-1.9,-1.8
2014/03/07,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,-0.1,-0.1
2014/03/28,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,0,0.2,-0.2
2014/04/30,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,0.1,0
2014/05/30,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-0.3,-0.2,-0.2
2014/06/30,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0,vised From -0.3
2014/07/31,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,0.1,-0.1,-0.1
2014/09/30,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-1.7,-1.6,-1.6
2014/10/31,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,-1.7,-2,-1.7
2014/11/28,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.4,,0
2014/12/30,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-1.2,,vised From -1.2
2015/01/30,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.7,,-0.2
2015/03/06,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-2.9,,-1.8
2015/03/31,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.5,,vised From -1.1
2015/04/30,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-2.4,,vised From -2.6
2015/05/29,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-2.3,,-2.4
2015/06/30,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.2,,-0.1
2015/07/31,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-2.3,,-1.9
2015/09/30,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.7,,evised From -0.2
2015/10/30,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.2,,evised From -0.7
2015/11/30,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-2.9,,evised From -3.0
2015/12/30,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-3.3,,evised From -2.9
2016/01/29,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.7,,evised From -0.5
2016/03/07,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.7,,evised From -0.7
2016/03/31,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-3.5,,-2.5
2016/04/29,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-3.4,,evised From -3.5
2016/05/30,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-4.1,,-3.4
2016/06/30,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.5,,evised From -0.7
2016/07/29,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.5,,evised From 0.5
2016/09/30,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-1.1,,-3
2016/10/31,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.7,,evised From -1.1
2016/11/30,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.6,,-0.7
2016/12/30,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.1,,-0.1
2017/01/31,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.9,,-0.3
2017/03/07,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,2.5,,evised From 0.9
2017/03/31,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,3.3,,2.5
2017/04/28,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,3.1,,3.3
2017/05/30,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,3.7,,evised From 3.1
2017/05/30,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.1,,evised From 0.0
2017/06/28,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,2.8,,3.7
2017/07/31,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.4,,-0.3
2017/08/30,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,1,,3.1
2017/09/29,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.4,,0
2017/10/31,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,1.8,,1.5
2017/11/30,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,2,                  ,evised From 1.8
2017/12/29,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,2.5              ,,evised From 1.8
2018/03/09,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,1.7              ,,2.00
2018/03/29,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,1.6              ,,1.70
2018/04/27,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,2.0              ,,1.60
2018/05/28,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.4             ,,evised From 0.4
2018/06/27,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,2.4              ,,evised From 0.4
2018/07/27,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.3              ,,0.70
2018/08/28,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.3              ,,0.30
2018/09/27,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.4              ,,evised From 0.3
2018/10/29,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.4              ,,0.40
2018/11/28,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,5.8              ,,4.70
2018/12/20,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,4.5              ,,5.80
2019/01/29,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.5,,-0.7
2019/03/08,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,3.4,,4.1
2019/03/29,7:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.1,,-0.5
2019/04/29,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,2.9,2.5,3.1
2019/05/31,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,2.1,,2.9
2019/06/28,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,1.5,1.8,2.1
2019/07/29,3:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,In Line with Expectation        ,% ,0.9,0.9,1.5
2019/08/29,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0,,-0.3
2019/09/27,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,0,-0.2
2019/10/29,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-1.7,-0.9,-1.4
2019/11/28,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-3,-2.7,evised From -1.7
2019/12/20,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,-0.1,evised From -0.1
2020/01/29,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,Better Than Expected            ,% ,-2.1,-2.4,evised From -2.5
2020/03/11,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-2.3,,evised From -2.1
2020/03/31,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.4,,-0.2
2020/04/29,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-1,,evised From -0.4
2020/05/28,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-5.1,,evised From -3.6
2020/06/30,6:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,-0.1,,-2.6
2020/07/29,4:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.5,,-0.1
2020/08/28,5:00:00,Italy                           ,Low Volatility Expected         ,Italian PPI                                                                                                     ,,% ,0.2,,evised From 0.5
