1/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,1.9,  ,1.7
8/12/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.3
8/31/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.3
9/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,2.8,  ,2.7
9/15/2011,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.3
9/30/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.1,-0.1,0.3
10/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,3,  ,2.8
10/14/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,0.1
10/31/2011,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.6,0.2,0
11/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,3.4,  ,3
11/16/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.6,0.6,0.6
11/30/2011,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0.3,0.6
12/1/2011,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,3.3,  ,3.4
12/15/2011,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
1/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,3.3,  ,3.3
1/4/2012,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,-0.1
1/16/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
2/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,3.2,  ,3.3
2/3/2012,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.4
2/22/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.3
3/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian CPI                                                                                                     ,,% ,3.3,  ,3.2
3/1/2012,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,0.3
3/13/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
3/30/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.5,0.2,0.4
4/13/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.5,0.5,0.5
4/30/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.5,0.4,0.5
5/14/2012,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.5,0.5,0.5
5/31/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,0.5
6/13/2012,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0,0,0
6/28/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0.1,0
7/31/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.3,0.2
8/31/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,0.1
9/13/2012,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
9/28/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0,-0.1,0.4
10/31/2012,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.3,0
11/13/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0,0,0
11/30/2012,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,-0.1,0
12/13/2012,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
1/4/2013,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,-0.2
1/15/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.2,0.3,0.3
2/5/2013,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2/22/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
3/1/2013,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.3,0.2
3/12/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
3/29/2013,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.3,0.4,0.1
4/12/2013,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.2,0.3,0.3
4/30/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.2,0.2
5/14/2013,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,0.1
5/31/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0
6/12/2013,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0,0.1,0.1
6/28/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0
7/31/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.2,0.3
8/30/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.1
9/12/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,0.3
9/30/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.3,-0.1,0.4
10/31/2013,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.3,0.4,-0.3
11/12/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,-0.2,-0.3,-0.3
11/29/2013,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,0.2,-0.2
12/12/2013,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,-0.3,-0.4,-0.4
2014/01/03,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.2,0.3,-0.3
2014/01/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2014/02/04,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2014/02/28,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0.1,0.2
2014/03/13,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2014/03/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.1
2014/04/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/04/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.1
2014/05/13,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2014/05/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,0.2
2014/06/13,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2014/06/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.1
2014/07/15,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/07/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0.1,0.1
2014/08/12,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2014/08/29,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0.1,-0.1
2014/09/12,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2014/09/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,0.2
2014/10/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.4,-0.3,vised From -0.3
2014/10/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.1,-0.2,-0.4
2014/11/13,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/11/28,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,-0.2,-0.3,0.1
2014/12/12,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2015/01/07,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0,-0.2,-0.2
2015/01/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0,0,0
2015/02/03,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,0.1,0
2015/02/20,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.4,-0.4,-0.4
2015/02/27,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.1,-0.4
2015/03/13,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,vised From 0.3
2015/03/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.4
2015/04/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/04/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.1
2015/05/13,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.2,0.3,vised From 0.3
2015/05/29,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0.1,0.2
2015/06/15,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.2,vised From 0.2
2015/06/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/07/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0,0.2
2015/08/11,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2015/08/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0.1,-0.1
2015/09/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2015/09/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,0.2
2015/10/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,-0.3,evised From -0.3
2015/10/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0.1,-0.4
2015/11/13,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2015/11/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,-0.2,0.2
2015/12/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.4,-0.4,-0.4
2016/01/05,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,-0.4
2016/01/15,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0,0,0
2016/02/03,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,0
2016/02/22,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2016/02/29,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,0.1,-0.2
2016/03/15,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2016/03/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0.1,-0.2
2016/04/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/04/29,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.2,0.2
2016/05/13,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0,-0.1
2016/05/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,-0.1
2016/06/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.3
2016/06/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.3,0.3
2016/07/13,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2016/07/29,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.2,0,0.1
2016/08/11,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/08/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.2,0.3,0.2
2016/09/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/09/30,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,-0.2,-0.3,0.2
2016/10/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2016/10/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.2,-0.2
2016/11/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0,0
2016/11/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,-0.1,-0.3,-0.1
2016/12/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0,-0.1,-0.1
2017/01/04,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,-0.1
2017/01/16,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,0.4
2017/02/03,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.4
2017/02/22,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.2
2017/02/28,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.1,0.3
2017/03/15,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,0.3
2017/03/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0,0.1,0.4
2017/04/13,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0,0,0
2017/04/28,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0
2017/05/15,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4,0.3,0.3
2017/05/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,0.4
2017/06/15,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2017/06/28,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0.1,-0.2
2017/07/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2017/07/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,-0.1
2017/08/11,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.1
2017/08/31,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.1
2017/09/14,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,0.3
2017/09/29,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.3,-0.1,0.3
2017/10/13,3:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
2017/10/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,-0.2,-0.1,-0.3
2017/11/14,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2017/11/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2017/12/14,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2017/12/22,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0,-0.2,-0.2
2018/01/05,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4              ,0.20,-0.20
2018/01/16,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.4              ,0.40,0.40
2018/02/02,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.2              ,0.30,0.40
2018/02/22,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.3              ,0.20,0.20
2018/02/28,6:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1              ,0.30,0.30
2018/03/16,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.0              ,0.10,0.10
2018/03/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4              ,0.10,0.00
2018/04/17,4:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.3              ,0.40,0.40
2018/04/30,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Worse Than Expected             ,% ,0.1              ,0.20,0.30
2018/05/16,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,In Line with Expectation        ,% ,0.1              ,0.10,0.10
2018/05/31,5:00:00,Italy                           ,Moderate Volatility Expected    ,Italian CPI                                                                                                     ,Better Than Expected            ,% ,0.4              ,0.20,0.30
