1/7/2011,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10.1,10.1,10.1
2016/08/31,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,10.1,10,10.1
2016/09/30,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,10.1,10,10.1
2016/11/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,10,10,evised From 10.1
2016/12/01,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,9.8,10,evised From 10.0
2017/01/09,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,9.8,9.8,9.8
2017/01/31,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,9.6,9.8,evised From 9.8
2017/03/02,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,9.6,9.6,9.6
2017/04/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,9.5,9.5,9.6
2017/05/02,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,9.5,9.4,9.5
2017/05/31,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,9.3,9.4,evised From 9.5
2017/07/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,9.3,9.2,9.3
2017/07/31,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,9.1,9.2,evised From 9.3
2017/08/31,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,9.1,9.1,9.1
2017/10/02,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,9.1,9,9.1
2017/10/31,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,8.9,9,evised From 9.1
2017/11/30,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,8.8,8.9,8.9
2018/01/09,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,8.7              ,8.70,8.80
2018/01/31,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,8.7              ,8.70,8.70
2018/03/01,6:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,8.6              ,8.60,evised From 8.7
2018/04/04,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,8.5              ,8.50,8.60
2018/05/02,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,8.5              ,8.50,8.50
2018/05/31,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,8.5              ,8.40,evised From 8.5
2018/07/02,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,8.4              ,8.50,8.50
2018/07/31,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,8.3              ,8.30,evised From 8.4
2018/08/31,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,8.2              ,8.20,evised From 8.3
2018/10/01,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,8.1              ,8.10,8.20
2018/10/31,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,8.1              ,8.10,8.10
2018/11/30,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,8.1              ,8.00,8.10
2019/01/09,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.9,8.1,evised From 8.1
2019/01/31,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,7.9,7.9,7.9
2019/03/01,6:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.8,7.9,evised From 7.9
2019/04/01,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,7.8,7.8,7.8
2019/04/30,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.7,7.8,7.8
2019/06/04,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.6,7.7,7.7
2019/07/01,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.5,7.6,7.6
2019/07/31,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,7.5,7.5,evised From 7.5
2019/08/30,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,7.5,7.5,7.5
2019/09/30,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.4,7.5,7.5
2019/10/31,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,7.5,7.4,evised From 7.4
2019/11/29,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,7.5,7.5,evised From 7.5
2020/01/09,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,7.5,7.5,7.5
2020/01/30,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.4,7.5,7.5
2020/03/03,6:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,7.4,7.4,7.4
2020/04/01,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.3,7.4,7.4
2020/04/30,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.4,7.7,7.3
2020/06/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.3,8.2,evised From 7.4
2020/07/02,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.4,7.7,7.3
2020/07/30,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,7.8,7.7,evised From 7.4
2020/09/01,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,7.9,8,evised From 7.8
