1/13/2011,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1
11/8/2012,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,0.75
12/6/2012,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,0.75
1/10/2013,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,0.75
2/7/2013,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,0.75
3/7/2013,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,0.75
4/4/2013,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,0.75
5/2/2013,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.75
6/6/2013,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
7/4/2013,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
8/1/2013,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
9/5/2013,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
10/2/2013,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
11/7/2013,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,Worse Than Expected             ,% ,0.25,0.5,0.5
12/5/2013,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
2014/01/09,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
2014/02/06,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
2014/03/06,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
2014/04/03,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
2014/05/08,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
2014/06/05,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,Better Than Expected            ,% ,0.15,0.1,0.25
2014/07/03,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.15,0.15,0.15
2014/08/07,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.15,0.15,0.15
2014/09/04,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,Worse Than Expected             ,% ,0.05,0.15,0.15
2014/10/02,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2014/11/06,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2014/12/04,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2015/01/22,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2015/03/05,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2015/04/15,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2015/06/03,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2015/07/16,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2015/09/03,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2015/10/22,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2015/12/03,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2016/01/21,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.05,0.05,0.05
2016/03/10,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,Worse Than Expected             ,% ,0,0.05,0.05
2016/04/21,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2016/06/02,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2016/07/21,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2016/09/08,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2016/10/20,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2016/12/08,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/01/19,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/03/09,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/04/27,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/06/08,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/07/20,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/09/07,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/10/26,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/12/14,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2018/01/25,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.00             ,0.00,0.00
2018/03/08,8:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.00             ,0.00,0.00
2018/04/26,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.00             ,0.00,0.00
2018/06/14,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.00             ,0.00,0.00
2018/07/26,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.00             ,0.00,0.00
2018/09/13,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.00             ,0.00,0.00
2018/10/25,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.00             ,0.00,0.00
2018/12/13,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.00             ,0.00,0.00
2019/01/24,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2019/03/07,8:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2019/04/10,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2019/06/06,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2019/07/25,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2019/09/12,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2019/10/24,6:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2019/12/12,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2020/01/23,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2020/03/12,8:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2020/04/30,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2020/06/04,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
2020/07/16,7:45:00,Euro Zone                       ,High Volatility Expected        ,ECB Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0,0,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
