1/13/2011,1:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.4,0.1
4/12/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.8,0.6,0.4
5/15/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.3,0.8
6/13/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,0.1
7/12/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,-0.1
8/14/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,-0.2,0
9/12/2012,0:30:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.7,0.5,-0.4
10/11/2012,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.3,0.1,0.7
11/14/2012,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,-0.3
12/12/2012,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,0,0.1
1/10/2013,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.3,0.4,-0.2
2/20/2013,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.5,-0.2,0.3
3/13/2013,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.3,0.5,-0.5
4/11/2013,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.8,0.7,0.3
5/15/2013,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,0.1,0.8
6/12/2013,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.3,-0.2
7/11/2013,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,0.1
8/14/2013,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.3,-0.1,0.2
9/12/2013,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.4,0.5,-0.3
10/15/2013,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,-0.2,-0.3,0.4
11/14/2013,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0,-0.2
12/12/2013,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,-0.1
2014/01/14,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0
2014/02/20,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.6,-0.3,0.4
2014/03/13,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.4,-0.6
2014/04/10,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.5,0.6,0.5
2014/05/14,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.2,0.5
2014/06/12,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0
2014/07/10,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.2,0
2014/08/13,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.3,-0.2,0
2014/09/11,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,-0.3
2014/10/14,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,-0.3,0.4
2014/11/13,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,-0.4
2014/12/11,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,0.2,0
2015/01/14,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.1,0,-0.2
2015/02/19,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-1,-0.9,0.1
2015/03/12,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.7,0.6,-1
2015/04/15,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.7,0.7,0.7
2015/05/13,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,0.7
2015/06/11,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.2,0.3,0.1
2015/07/15,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,0.2
2015/08/13,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.4,-0.4,-0.1
2015/09/15,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.3,0.4,-0.4
2015/10/14,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.4,-0.4,0.3
2015/11/12,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,-0.4
2015/12/10,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,0,0.1
2016/01/13,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,-0.2
2016/01/29,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-1,-0.9,0.2
2016/02/18,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-1,-1,0.2
2016/02/26,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.2,0.4,-1
2016/03/15,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,0.2
2016/03/31,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.7,0.5,0.3
2016/04/13,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.7,0.7,0.7
2016/04/29,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.7
2016/05/12,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.7
2016/05/31,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.3,0.1
2016/06/15,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
2016/06/30,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,0.4
2016/07/13,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,0.2
2016/07/29,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,-0.3,0.1
2016/08/11,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.4,-0.4,-0.4
2016/08/31,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.3,0.4,-0.4
2016/09/14,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2016/09/30,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,-0.2,-0.3,0.3
2016/10/12,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2016/10/28,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.2,-0.2
2016/11/15,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2016/11/30,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,0
2016/12/14,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/01/03,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,0
2017/01/12,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2017/01/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,-0.2,-0.5,0.3
2017/02/21,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2017/02/28,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.4,-0.2
2017/03/15,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2017/03/31,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.6,0.7,0.1
2017/04/13,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.6,0.6,0.6
2017/04/28,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.6
2017/05/16,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2017/05/31,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,0.1
2017/06/15,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0.1
2017/06/30,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/07/13,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/07/28,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,-0.3,-0.4,0
2017/08/11,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
2017/08/31,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,-0.3
2017/09/14,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2017/09/29,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,0.5
2017/10/12,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,-0.1
2017/10/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,-0.2
2017/11/15,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2017/11/30,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2017/12/14,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2018/01/05,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.3              ,0.30,0.10
2018/01/12,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.3              ,0.30,0.10
2018/01/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,-0.1             ,-0.30,0.30
2018/02/22,3:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.1             ,-0.10,-0.10
2018/02/28,3:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1             ,0.30,-0.10
2018/03/15,3:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.0              ,-0.10,-0.10
2018/03/30,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,1.0              ,0.80,0.00
2018/04/12,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,1.0              ,1.00,1.00
2018/04/27,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1              ,0.10,1.00
2018/05/15,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.2              ,0.10,0.10
2018/05/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.4              ,0.20,0.20
2018/06/14,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.4              ,0.40,0.40
2018/06/29,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1              ,0.10,0.40
2018/07/12,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.0              ,0.10,0.10
2018/07/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,-0.1             ,-0.20,0.00
2018/08/14,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.1             ,-0.10,-0.10
2018/08/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.5              ,0.50,-0.10
2018/09/13,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.5              ,0.50,0.50
2018/09/28,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2             ,-0.10,0.50
2018/10/11,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2             ,-0.20,0.50
2018/10/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1              ,0.10,-0.20
2018/11/14,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.1              ,0.10,0.10
2018/11/30,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2             ,-0.20,0.10
2018/12/13,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2             ,-0.20,evised From -0.2
2019/01/04,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0,0.1,-0.2
2019/01/15,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2019/01/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.5,-0.5,0
2019/02/21,3:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.5,-0.5,-0.5
2019/02/28,3:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0,0.4,evised From -0.5
2019/03/14,3:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.1,0,0
2019/03/29,3:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.8,0.9,evised From 0.1
2019/04/11,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.8,0.8,evised From 0.8
2019/04/30,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.2,0.3,0.8
2019/05/15,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,0.2
2019/05/29,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,0.2,0.3,0.3
2019/06/14,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.8,0.2,evised From 0.2
2019/06/28,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.2,0,0.8
2019/07/11,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,0.2
2019/07/31,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,-0.2,-0.3,evised From 0.3
2019/08/14,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,evised From -0.2
2019/08/30,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,,% ,0.5,,-0.2
2019/09/12,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,-0.2
2019/09/27,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.3,-0.2,0.5
2019/10/15,1:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.3,-0.3,0.5
2019/10/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,-0.3
2019/11/14,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,-0.3
2019/11/29,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,,% ,-0.1,,0
2019/12/12,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,0
2020/01/03,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,,% ,1,,evised From -0.1
2020/01/15,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.4,-0.1
2020/01/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,,% ,-0.4,,evised From 0.5
2020/02/20,3:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,-0.4,-0.4,evised From -0.4
2020/02/28,3:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,-0.4
2020/03/13,3:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,-0.4
2020/03/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2020/04/15,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0,0
2020/04/30,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,,% ,0.1,,0.1
2020/05/15,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,,% ,0,,-0.1
2020/05/29,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2020/06/12,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.1,0,0
2020/06/30,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,,% ,-0.1,,0.1
2020/07/16,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.1,-0.1,0.1
2020/07/31,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,Better Than Expected            ,% ,0.4,-0.1,0.1
2020/08/14,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.1
2020/08/28,2:45:00,France                          ,Moderate Volatility Expected    ,French CPI                                                                                                      ,,% ,-0.1,,0.4
