1/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,4.9,  ,4.2
9/20/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.3,0.2,0.7
10/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,5.1,  ,5.2
10/20/2011,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,-0.3
11/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,4.9,  ,5.1
11/18/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.3
12/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,4.6,  ,4.9
12/20/2011,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.2
1/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,3.5,  ,4.6
1/20/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,0.1,0.1
2/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,2.9,  ,3.5
2/17/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.6,0.2,-0.4
3/1/2012,4:00:00,Germany                         ,Low Volatility Expected         ,German PPI                                                                                                      ,,% ,2.6,  ,2.9
3/20/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.4,0.5,0.6
4/20/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.6,0.4,0.4
5/18/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.2,0.3,0.6
6/20/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.3,-0.2,0.2
7/20/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,-0.2,-0.3
8/17/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0,0.4,-0.4
9/20/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.4,0
10/19/2012,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.5
11/20/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0.3
12/20/2012,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,-0.1,-0.2,0
1/21/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.3,0,-0.1
2/20/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.8,0.3,-0.3
3/20/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,0.8
4/19/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,0.1,-0.1
5/21/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,-0.2
6/20/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.3,-0.1,-0.2
7/19/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,-0.3
8/20/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,0
10/4/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,-0.1
10/21/2013,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.1,-0.1
11/20/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,0.1,0.3
12/20/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
2014/01/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,-0.1
2014/02/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,0.1
2014/03/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,-0.1
2014/04/17,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.3,0.1,0
2014/05/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,-0.3
2014/06/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,0.2,-0.1
2014/07/21,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,-0.2
2014/08/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,0
2014/09/19,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2014/10/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,-0.1
2014/11/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,0
2014/12/19,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0,-0.2,-0.2
2015/01/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.7,-0.4,0
2015/02/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.6,-0.4,-0.7
2015/03/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,-0.6
2015/04/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,0.1
2015/05/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,0.1
2015/06/19,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0,0.2,0.1
2015/07/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,0
2015/08/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,-0.1
2015/09/21,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.5,-0.3,0
2015/10/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,-0.1,-0.5
2015/11/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,-0.2,-0.4
2015/12/21,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,-0.4
2016/01/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.5,-0.4,-0.2
2016/02/19,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.7,-0.3,-0.5
2016/03/18,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.5,-0.2,-0.7
2016/04/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0,0.2,-0.5
2016/05/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,0
2016/06/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.3,0.1
2016/07/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.2,0.4
2016/08/19,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,0.4
2016/09/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,0.2
2016/10/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,0.2,-0.1
2016/11/18,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.7,0.1,-0.2
2016/12/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.1,0.7
2017/01/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.3
2017/02/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.7,0.3,0.4
2017/03/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.2,0.3,0.7
2017/04/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0.2
2017/05/19,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.2,0
2017/06/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,0.4
2017/07/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,-0.2
2017/08/18,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,0
2017/09/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,0.2
2017/10/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.1,0.2
2017/11/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2017/12/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,0.3
2018/01/19,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.2              ,0.20,0.10
2018/02/20,3:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.5              ,0.50,0.20
2018/03/20,3:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1             ,0.10,0.50
2018/04/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.1              ,0.20,-0.10
2018/05/18,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.5              ,0.30,0.10
2018/06/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.5              ,0.40,0.50
2018/07/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.3              ,0.30,0.50
2018/08/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.2              ,0.40,0.30
2018/10/05,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.3              ,0.20,0.20
2018/10/23,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.5              ,0.30,0.30
2018/11/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,0.3              ,0.30,0.50
2018/12/19,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.1              ,-0.10,0.30
2019/01/21,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,-0.2,0.1
2019/02/20,3:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.4,-0.2,-0.4
2019/03/20,3:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,0.4
2019/04/18,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,-0.1
2019/05/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.5,0.3,-0.1
2019/06/19,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,0.5
2019/07/19,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,-0.1,-0.1
2019/08/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.1,0,-0.4
2019/09/20,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.5,-0.2,0.1
2019/10/21,1:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.5
2019/11/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,0.1
2019/12/18,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,-0.2
2020/01/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,0
2020/02/20,3:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.8,0.2,0.1
2020/03/20,3:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,-0.1,0.8
2020/04/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.8,-0.7,-0.4
2020/05/15,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.7,-0.6,-0.8
2020/06/19,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,-0.3,-0.7
2020/07/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Worse Than Expected             ,% ,0,0.2,-0.4
2020/08/20,2:00:00,Germany                         ,Moderate Volatility Expected    ,German PPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,0
