1/1/2011,4:00:00,Germany                         ,Low Volatility Expected         ,German CPI                                                                                                      ,,% ,1.3,  ,1.5
11/12/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
11/28/2013,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,-0.2
12/11/2013,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.2
2014/01/06,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.2
2014/01/16,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
2014/01/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.6,-0.4,0.4
2014/02/13,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.6,-0.6,-0.6
2014/02/27,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.5,0.6,-0.6
2014/03/14,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2014/03/28,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.3,0.4,0.5
2014/04/11,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2014/04/29,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,0.3
2014/05/14,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2014/06/02,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,-0.2
2014/06/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2014/06/27,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,-0.1
2014/07/11,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2014/07/30,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,0.3
2014/08/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2014/08/28,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0.3
2014/09/11,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2014/09/29,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,0
2014/10/15,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2014/10/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.3,-0.1,0
2014/11/13,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
2014/11/27,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,-0.3
2014/12/11,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2015/01/05,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0
2015/01/16,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2015/01/29,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-1,-0.8,0
2015/02/12,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-1.1,-1,-1
2015/02/27,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.9,0.7,-1.1
2015/03/12,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.9,0.9,0.9
2015/03/30,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.9
2015/04/15,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2015/04/29,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,0.5
2015/05/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,-0.1
2015/06/01,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0
2015/06/16,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/06/29,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,0.1
2015/07/14,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2015/07/30,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.2,0.3,-0.1
2015/08/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.2
2015/08/28,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,0.2
2015/09/11,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2015/09/29,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,0
2015/10/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2015/10/29,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,-0.2
2015/11/12,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2015/11/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0
2015/12/11,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2016/01/04,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,0.1
2016/01/19,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2016/01/28,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.8,-0.8,-0.1
2016/02/12,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.8,-0.8,-0.8
2016/02/26,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.4,0.5,-0.8
2016/03/11,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
2016/03/30,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.8,0.6,0.4
2016/04/12,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.8,0.8,0.8
2016/04/28,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,0.8
2016/05/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.4,-0.4,-0.4
2016/05/30,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,-0.4
2016/06/10,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2016/06/29,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.1,0.2,0.3
2016/07/12,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2016/07/28,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,0.1
2016/08/12,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2016/08/30,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0.3
2016/09/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2016/09/29,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.1,0,0
2016/10/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2016/10/28,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.2,0.1,0.1
2016/11/11,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/11/29,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.2
2016/12/13,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2017/01/03,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.7,0.6,0.1
2017/01/18,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.7,0.7,0.7
2017/01/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.6,-0.6,0.7
2017/02/14,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.6,-0.6,-0.6
2017/03/01,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.6,0.6,-0.6
2017/03/14,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.6,0.6,0.6
2017/03/30,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.2,0.4,0.6
2017/04/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.2
2017/04/27,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0,-0.1,0.2
2017/05/12,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/05/30,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,-0.1,0
2017/06/14,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2017/06/29,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.2,0,-0.2
2017/07/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.2
2017/07/28,5:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.4,0.2,0.2
2017/08/11,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
2017/08/30,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.4
2017/09/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2017/09/28,7:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2017/10/13,1:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2017/10/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0,0.1,0.1
2017/11/14,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0,0,0
2017/11/29,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0
2017/12/13,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2017/12/29,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.6              ,0.50,0.30
2018/01/16,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.6              ,0.60,0.60
2018/01/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,-0.7             ,-0.50,0.60
2018/02/14,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,-0.7             ,-0.70,-0.70
2018/02/27,9:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5              ,0.50,-0.70
2018/03/14,3:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.5              ,0.50,0.50
2018/03/29,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Worse Than Expected             ,% ,0.4              ,0.50,0.50
2018/04/13,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.4              ,0.40,0.40
2018/04/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.0              ,-0.10,0.40
2018/05/16,2:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,In Line with Expectation        ,% ,0.0              ,0.00,0.00
2018/05/30,8:00:00,Germany                         ,Moderate Volatility Expected    ,German CPI                                                                                                      ,Better Than Expected            ,% ,0.5              ,0.30,0.00
