1/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.6,  ,0.1
10/31/2011,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,3,2.9,3
11/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.3,  ,0.8
11/16/2011,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,3,3,3
11/30/2011,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,3,3,3
12/1/2011,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.1,  ,0.3
12/15/2011,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,3,3,3
1/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.3,  ,0.1
1/4/2012,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.8,2.8,3
1/17/2012,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2.7,2.8,2.8
2/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,-0.8,  ,0.3
2/1/2012,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.7,2.7,2.7
2/29/2012,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2.6,2.7,2.7
3/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.5,  ,-0.8
3/1/2012,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.7,2.6,2.6
3/14/2012,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.7,2.7,2.7
3/30/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.6,2.5,2.7
4/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,1.3,  ,0.5
4/17/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.7,2.6,2.6
4/30/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.6,2.5,2.6
5/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.5,  ,1.3
5/16/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.6,2.6,2.6
5/31/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2.4,2.5,2.6
6/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,-0.1,  ,0.5
6/14/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.4,2.4,2.4
6/29/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.4,2.4,2.4
7/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,-0.1,  ,-0.1
7/16/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.4,2.4,2.4
7/31/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.4,2.4,2.4
8/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,-0.5,  ,-0.1
8/16/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.4,2.4,2.4
8/31/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.6,2.5,2.4
9/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.4,  ,-0.5
9/14/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.6,2.6,2.6
9/28/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.7,2.4,2.6
10/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.7,  ,0.4
10/16/2012,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2.6,2.7,2.7
10/31/2012,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.5,2.5,2.6
11/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.2,  ,0.7
11/15/2012,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.5,2.5,2.5
11/30/2012,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2.2,2.4,2.5
12/1/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,-0.2,  ,0.2
12/14/2012,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.2,2.2,2.2
1/1/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.4,  ,-0.2
1/4/2013,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,2.2,2.1,2.2
1/16/2013,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2.2,2.2,2.2
2/1/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,-1,  ,0.4
2/1/2013,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,2,2.2,2.2
2/28/2013,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2,2,2
3/1/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,0.4,  ,-1
3/15/2013,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.8,1.8,1.8
4/1/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,1.2,  ,0.4
4/3/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.7,1.6,1.8
4/16/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.7,1.7,1.7
4/30/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.2,1.6,1.7
5/1/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,CPI                                                                                                             ,,% ,-0.1,  ,1.2
5/16/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.2,1.2,1.2
5/31/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4,1.4,1.2
6/14/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4,1.4,1.4
7/1/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.6,1.6,1.4
7/16/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.6,1.6,1.6
7/31/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.6,1.6,1.6
8/16/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.6,1.6,1.6
8/30/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.3,1.4,1.6
9/16/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.3,1.3,1.3
9/30/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.1,1.3,1.3
10/16/2013,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.1,1.1,1.1
10/31/2013,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.7,1.1,1.1
11/15/2013,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.7,0.7,0.7
11/29/2013,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.9,0.8,0.7
12/17/2013,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.9,0.9,0.9
2014/01/01,4:00:00,Euro Zone                       ,Low Volatility Expected         ,CPI ex Tobacco                                                                                                  ,,% ,0.76,,0.77
2014/01/07,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.8,0.9,0.9
2014/01/16,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.8,0.8,0.8
2014/01/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.7,0.9,0.8
2014/02/01,4:00:00,Euro Zone                       ,Low Volatility Expected         ,CPI ex Tobacco                                                                                                  ,,% ,0.69,,0.76
2014/02/24,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.8,0.7,0.7
2014/02/28,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.8,0.7,0.8
2014/03/01,4:00:00,Euro Zone                       ,Low Volatility Expected         ,CPI ex Tobacco                                                                                                  ,,% ,0.3,,-1.15
2014/03/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.7,0.8,0.8
2014/03/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.5,0.6,0.7
2014/04/01,4:00:00,Euro Zone                       ,Low Volatility Expected         ,CPI ex Tobacco                                                                                                  ,,% ,0.95,,0.3
2014/04/16,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,0.5
2014/04/30,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.7,0.8,0.5
2014/05/01,4:00:00,Euro Zone                       ,Low Volatility Expected         ,CPI ex Tobacco                                                                                                  ,,% ,0.64,,0.38
2014/05/15,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.7,0.7,0.7
2014/06/01,4:00:00,Euro Zone                       ,Low Volatility Expected         ,CPI ex Tobacco                                                                                                  ,,% ,-0.11,,0.15
2014/06/03,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.5,0.7,0.7
2014/06/16,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,0.5
2014/06/30,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,0.5
2014/07/01,4:00:00,Euro Zone                       ,Low Volatility Expected         ,CPI ex Tobacco                                                                                                  ,,% ,0.43,,0.42
2014/07/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,0.5
2014/07/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.4,0.5,0.5
2014/08/14,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,0.4
2014/08/29,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.4
2014/09/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.3,0.3
2014/09/17,4:00:00,Euro Zone                       ,Low Volatility Expected         ,CPI ex Tobacco                                                                                                  ,,% ,0.3,,0.3
2014/09/30,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.4
2014/10/16,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.3
2014/10/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,0.3
2014/11/14,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,0.4
2014/11/28,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.4
2014/12/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.3
2015/01/07,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,-0.1,0.3
2015/01/16,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2015/01/30,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.6,-0.5,-0.2
2015/02/24,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.6,-0.6,-0.6
2015/03/02,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,-0.3,-0.4,-0.6
2015/03/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.3,-0.3,-0.3
2015/03/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.3
2015/04/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2015/04/30,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,-0.1
2015/05/19,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0,0,0
2015/06/02,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.2,0
2015/06/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.3
2015/06/30,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.3
2015/07/16,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.2
2015/07/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.2
2015/08/14,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.2
2015/08/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,0.2
2015/09/16,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,0.2
2015/09/30,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0,0.1
2015/10/16,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2015/10/30,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,-0.1
2015/11/16,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.1,0,0
2015/12/02,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,0.1
2015/12/16,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,0.1
2016/01/05,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.2,0.3,0.2
2016/01/19,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/01/29,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,0.2
2016/02/25,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.3,0.4,0.4
2016/02/29,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.1,0.3
2016/03/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2016/03/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
2016/04/14,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,-0.1
2016/04/29,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,-0.1,0
2016/05/18,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
2016/05/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
2016/06/16,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2016/06/30,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.1,0,-0.1
2016/07/15,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,0.1
2016/07/29,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,0.1
2016/08/18,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/08/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.2,0.3,0.2
2016/09/15,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/09/30,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,0.2
2016/10/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.4,0.4
2016/10/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,0.4
2016/11/17,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,0.5
2016/11/30,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.6,0.6,0.5
2016/12/16,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.6,0.6,0.6
2017/01/04,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.1,1,0.6
2017/01/18,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.1,1.1,1.1
2017/01/31,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.8,1.6,1.1
2017/02/22,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.8,1.8,1.8
2017/03/02,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2,2,1.8
2017/03/16,5:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,2,2,2
2017/03/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.5,1.8,2
2017/04/19,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.5,1.5,1.5
2017/04/28,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.9,1.8,1.5
2017/05/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.9,1.9,1.9
2017/05/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Worse Than Expected             ,% ,1.4,1.5,1.9
2017/06/16,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.4,1.4,1.4
2017/06/30,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.3,1.2,1.4
2017/07/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.3,1.3,1.3
2017/07/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.3,1.3,1.3
2017/08/17,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.3,1.3,1.3
2017/08/31,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,Better Than Expected            ,% ,1.5,1.4,1.3
2017/09/18,4:00:00,Euro Zone                       ,High Volatility Expected        ,CPI                                                                                                             ,In Line with Expectation        ,% ,1.5,1.5,1.5
