1/7/2011,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,9.4,9.7,9.8
2014/03/07,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,6.7,6.6,6.6
2014/04/04,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,6.7,6.6,6.7
2014/05/02,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,6.3,6.6,6.7
2014/06/06,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,6.3,6.4,6.3
2014/07/03,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,6.1,6.3,6.3
2014/08/01,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,6.2,6.1,6.1
2014/09/05,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,6.1,6.1,6.2
2014/10/03,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.9,6.1,6.1
2014/11/07,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.8,5.9,5.9
2014/12/05,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.8,5.8,5.8
2015/01/09,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.6,5.7,5.8
2015/02/06,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,5.7,5.6,5.6
2015/03/06,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.5,5.6,5.7
2015/04/03,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.5,5.5,5.5
2015/05/08,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.4,5.4,5.5
2015/06/05,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,5.5,5.4,5.4
2015/07/02,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.3,5.4,5.5
2015/08/07,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.3,5.3,5.3
2015/09/04,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5.1,5.2,5.3
2015/10/02,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5.1,5.1,5.1
2015/11/06,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,5,5.1,5.1
2015/12/04,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5,5,5
2016/01/08,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5,5,5
2016/02/05,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.9,5,5
2016/03/04,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.9,4.9,4.9
2016/04/01,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,5,4.9,4.9
2016/05/06,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,5,5,5
2016/06/03,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.7,4.9,5
2016/07/08,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.9,4.8,4.7
2016/08/05,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.9,4.8,4.9
2016/09/02,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.9,4.8,4.9
2016/10/07,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,5,4.9,4.9
2016/11/04,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.9,4.9,5
2016/12/02,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.6,4.9,4.9
2017/01/06,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.7,4.7,4.6
2017/02/03,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.8,4.7,4.7
2017/03/10,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.7,4.7,4.8
2017/04/07,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.5,4.7,4.7
2017/05/05,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.4,4.6,4.5
2017/06/02,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.3,4.4,4.4
2017/07/07,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.4,4.3,4.3
2017/08/04,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.3,4.3,4.4
2017/09/01,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.4,4.3,4.3
2017/10/06,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.2,4.4,4.4
2017/11/03,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.1,4.2,4.2
2017/12/08,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.1,4.1,4.1
2018/01/05,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.1              ,4.10,4.10
2018/02/02,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.1              ,4.10,4.10
2018/03/09,9:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.1              ,4.00,4.10
2018/04/06,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.1              ,4.00,4.10
2018/05/04,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.9              ,4.00,4.10
2018/06/01,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.8              ,3.90,3.90
2018/07/06,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.0              ,3.80,3.80
2018/08/03,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.9              ,3.90,4.00
2018/09/07,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.9              ,3.80,3.90
2018/10/05,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.7              ,3.80,3.90
2018/11/02,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.7              ,3.70,3.70
2018/12/07,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.7              ,3.70,3.70
2019/01/04,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.9,3.7,3.7
2019/02/01,9:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4,3.9,3.9
2019/03/08,9:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.8,3.9,4
2019/04/05,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.8,3.8,3.8
2019/05/03,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.6,3.8,3.8
2019/06/07,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.6,3.6,3.6
2019/07/05,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.7,3.6,3.6
2019/08/02,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.7,3.7,3.7
2019/09/06,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.7,3.7,3.7
2019/10/04,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.5,3.7,3.7
2019/11/01,7:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.6,3.6,3.5
2019/12/06,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.5,3.6,3.6
2020/01/10,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.5,3.5,3.5
2020/02/07,9:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.6,3.5,3.5
2020/03/06,9:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.5,3.6,3.6
2020/04/03,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.4,3.8,3.5
2020/05/08,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,14.7,16,4.4
2020/06/05,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,13.3,19.7,14.7
2020/07/02,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,11.1,12.3,13.3
2020/08/07,8:30:00,United States                   ,High Volatility Expected        ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,10.2,10.5,11.1
