1/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.5,  ,-0.1
6/11/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.5,-0.4,-0.2
7/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.6,  ,-0.4
7/10/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-1.3,-0.9,-0.5
8/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.4,  ,-0.6
8/9/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-2.1,-1.6,-1.3
9/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.1,  ,-0.4
9/11/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-1.8,-1.9,-2.1
10/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.3,  ,0.1
10/11/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-1.4,-1.4,vised From -1.8
11/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.4,  ,0.3
11/11/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-1,-0.8,-1.4
12/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.1,  ,-0.4
12/11/2012,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.9,-0.9,-1
1/1/2013,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.4,  ,-0.1
1/15/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.6,-0.7,-0.9
2/1/2013,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.2,  ,0.4
2/12/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.2,-0.3,-0.6
3/1/2013,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.5,  ,0.2
3/11/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
4/1/2013,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.1,  ,0.5
4/10/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.5,-0.4,-0.1
5/1/2013,4:00:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.4,  ,0.1
5/13/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0,-0.2,-0.5
6/11/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.6,0.6,0
7/9/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,1.2,1.2,0.6
8/11/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.2,1.9,1.2
9/10/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.4,2.4,2.2
10/10/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.3,2.3,2.4
11/12/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.5,2.5,2.3
12/10/2013,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.7,2.7,2.5
2014/01/15,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2.5,2.6,2.7
2014/02/12,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.4,2.4,2.5
2014/03/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,1.8,2.1,2.4
2014/04/10,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,1.7,1.7,1.8
2014/05/13,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,4.1,4,1.7
2014/06/10,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,4.4,4.1,4.1
2014/07/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,4.6,4.5,4.4
2014/08/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,4.3,4.4,4.6
2014/09/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,3.9,4.1,4.3
2014/10/13,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,3.5,3.6,3.9
2014/11/12,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2.9,3.3,3.5
2014/12/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,2.7,2.6,2.9
2015/01/14,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,1.9,2.1,2.7
2015/02/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.3,1.1,vised From 1.9
2015/03/10,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,0.3
2015/04/12,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.7,0.4,vised From 0.5
2015/05/14,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,0.3
2015/06/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.2,0.1
2015/07/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.1,0.3
2015/08/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,-0.1,-0.2
2015/09/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.6,-0.4,-0.2
2015/10/13,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.5,-0.3,-0.6
2015/11/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.6,-0.4,-0.5
2015/12/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.1,-0.3,-0.6
2016/01/13,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.3,-0.4,-0.1
2016/02/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.9,-0.7,-0.3
2016/03/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,-0.2,-0.3,-0.9
2016/04/12,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.1,,-0.2
2016/05/15,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,0.2,-0.1
2016/06/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,-0.3
2016/07/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,0.2
2016/09/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.2,-0.1
2016/10/13,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,-0.3
2016/11/10,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,-0.1,-0.1,0
2016/12/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.4,0.3,-0.1
2017/01/15,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.3,0.4
2017/02/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.2,0.6
2017/03/12,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,1,1,0.5
2017/04/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,1.4,1.3,1
2017/05/14,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,2.1,1.8,1.4
2017/06/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2.1,2.2,2.1
2017/07/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.1,2.1,2.1
2017/08/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,2.6,2.4,2.1
2017/09/12,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2.9,3,2.6
2017/10/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,3,3,2.9
2017/11/12,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,3.4,3.1,3
2017/12/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,3.5,3.3,3.4
2018/01/15,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,3.1              ,3.20,evised From 3.5
2018/02/12,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.7              ,2.70,3.10
2018/03/12,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2.5              ,2.60,2.70
2018/04/10,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.1              ,2.10,evised From 2.5
2018/05/13,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.0              ,2.00,2.10
2018/06/11,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,2.7              ,2.20,evised From 2.0
2018/07/10,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,2.8              ,2.80,2.70
2018/08/09,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,3.1              ,2.90,2.80
2018/09/12,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.0              ,0.10,evised From 0.5
2018/10/10,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,3.0              ,2.90,3.00
2018/11/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,2.9              ,2.80,3.00
2018/12/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,2.3              ,2.40,2.90
2019/01/15,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,1.5,1.8,2.3
2019/02/12,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.6,1.1,1.5
2019/03/12,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.8,0.7,0.6
2019/04/09,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,1.3,1.1,evised From 0.8
2019/05/15,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,1.2,1.1,1.3
2019/06/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.7,0.7,1.2
2019/07/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.5,-0.3,-0.1
2019/08/12,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,-0.5
2019/09/11,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.2,0
2019/10/09,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,-0.3
2019/11/12,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.3,-1.1
2019/12/10,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,0.1,1.1
2020/01/15,18:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.9,0.9,0.1
2020/02/12,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,1.7,1.5,0.9
2020/03/11,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.8,1,evised From 1.7
2020/04/09,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.1,0.8
2020/05/14,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-2.3,-1.6,-0.4
2020/06/09,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Worse Than Expected             ,% ,-2.7,-2.4,evised From -2.3
2020/07/09,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.4,evised From -0.4
2020/08/12,19:50:00,Japan                           ,Low Volatility Expected         ,PPI                                                                                                             ,Better Than Expected            ,% ,0.6,0.3,0.6
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
