1/1/2011,4:00:00,United States                   ,Moderate Volatility Expected    ,Core CPI                                                                                                        ,,% ,0.8,  ,0.8
2014/11/20,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
2014/12/17,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.2
2015/01/16,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0,0.1,0.1
2015/02/26,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0
2015/03/24,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.2
2015/04/17,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2015/05/22,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.2
2015/06/18,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.3
2015/07/17,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
2015/08/19,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
2015/09/16,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/10/15,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,0.1
2015/11/17,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2015/12/15,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/01/20,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
2016/02/19,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.2
2016/03/16,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.3
2016/04/14,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.3
2016/05/17,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
2016/06/16,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/07/15,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/08/16,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
2016/09/16,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.1
2016/10/18,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.3
2016/11/17,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
2016/12/15,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
2017/01/18,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2017/02/15,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.2
2017/03/15,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.3
2017/04/14,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,-0.1,0.2,0.2
2017/05/12,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,-0.1
2017/06/14,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
2017/07/14,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
2017/08/11,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
2017/09/14,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
2017/10/13,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
2017/11/15,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
2017/12/13,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
2018/01/12,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3              ,0.20,0.10
2018/02/14,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3              ,0.20,evised From 0.3
2018/03/13,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2              ,0.20,0.30
2018/04/11,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2              ,0.20,0.20
2018/05/10,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1              ,0.20,0.20
2018/06/12,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2              ,0.10,0.10
2018/07/12,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2              ,0.20,0.20
2018/08/10,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2              ,0.20,0.20
2018/09/13,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1              ,0.20,0.20
2018/10/11,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1              ,0.20,0.10
2018/11/14,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2              ,0.20,0.10
2018/12/12,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2              ,0.20,0.20
2019/01/11,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2019/02/13,9:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2019/03/12,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
2019/04/10,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
2019/05/10,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
2019/06/12,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.1
2019/07/11,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.1
2019/08/13,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.3
2019/09/12,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.3,0.2,0.3
2019/10/10,7:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.3
2019/11/13,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
2019/12/11,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2020/01/14,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,0.1,0.2,0.2
2020/02/13,9:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.1
2020/03/11,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,0.2,0.2,0.2
2020/04/10,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,-0.1,0.1,0.2
2020/05/12,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Worse Than Expected             ,% ,-0.4,-0.2,-0.1
2020/06/10,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,In Line with Expectation        ,% ,-0.1,-0.1,-0.4
2020/07/14,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.2,0.1,-0.1
2020/08/12,8:30:00,United States                   ,High Volatility Expected        ,Core CPI                                                                                                        ,Better Than Expected            ,% ,0.6,0.2,0.2
