1/24/2011,22:30:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
1/21/2013,22:50:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2/13/2013,22:40:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
3/6/2013,22:25:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
4/3/2013,23:40:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
4/25/2013,23:40:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
5/21/2013,22:10:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
6/10/2013,21:50:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
7/10/2013,21:50:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
8/7/2013,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
9/4/2013,21:45:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
10/3/2013,21:50:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
10/30/2013,23:15:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
11/20/2013,22:15:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
12/20/2013,0:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/01/21,22:20:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/02/17,22:30:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/03/10,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/04/07,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/04/29,22:50:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/05/20,21:45:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/06/12,21:40:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/07/14,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/08/07,22:10:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/09/03,22:10:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/10/06,23:55:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/10/30,23:45:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/11/18,22:25:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2014/12/18,22:30:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/01/20,22:30:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/02/17,21:50:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/03/16,22:05:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/04/07,22:35:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/04/29,23:05:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/05/21,21:50:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/06/18,22:05:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/07/14,22:20:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/08/06,22:20:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/09/14,22:10:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/10/06,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/10/29,22:20:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/11/18,22:20:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2015/12/17,22:50:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.1,0.1,0.1
2016/01/28,22:40:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,Worse Than Expected             ,% ,-0.1,0.1,0.1
2016/03/14,22:35:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2016/04/27,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2016/06/15,21:45:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2016/07/28,22:45:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,Better Than Expected            ,% ,-0.1,-0.15,-0.1
2016/09/20,23:20:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,Better Than Expected            ,% ,-0.1,-0.15,-0.1
2016/10/31,21:55:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2016/12/19,21:55:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2017/01/30,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2017/03/15,21:55:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2017/04/26,22:15:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2017/06/15,21:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2017/07/19,22:10:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2017/09/20,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2017/10/30,22:05:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2017/12/20,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2018/01/22,22:15:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.10            ,-0.10,-0.10
2018/03/09,1:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.10            ,-0.10,-0.10
2018/04/26,23:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.10            ,-0.10,-0.10
2018/06/14,23:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.10            ,-0.10,-0.10
2018/07/31,0:05:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.10            ,-0.10,-0.10
2018/09/18,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.10            ,-0.10,-0.10
2018/10/30,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.10            ,-0.10,-0.10
2018/12/19,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.10            ,-0.10,-0.10
2019/01/22,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2019/03/14,23:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2019/04/24,23:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2019/06/19,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2019/07/29,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2019/09/18,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2019/10/30,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2019/12/18,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2020/01/20,22:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2020/03/16,1:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2020/04/27,0:00:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
2020/05/21,21:01:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,,% ,-0.1,,-0.1
2020/06/15,22:33:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,,% ,-0.1,,-0.1
2020/07/14,22:57:00,Japan                           ,Moderate Volatility Expected    ,BoJ Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,-0.1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
