1/1/2011,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0,  ,0.1
5/24/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,0.2,0.1,0.2
6/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0.2,  ,0.4
6/28/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Worse Than Expected             ,% ,-0.1,0.1,0.2
7/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.2,  ,0.2
7/26/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Worse Than Expected             ,% ,-0.2,0,-0.1
8/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.4,  ,-0.2
8/30/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,-0.3,-0.3,-0.2
9/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.4,  ,-0.4
9/27/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Worse Than Expected             ,% ,-0.3,-0.2,-0.3
10/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.3,  ,-0.4
10/25/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,-0.1,-0.2,-0.3
11/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.4,  ,-0.3
11/29/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,0,-0.1,-0.1
12/1/2012,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.2,  ,-0.4
12/27/2012,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,-0.1,-0.1,0
1/1/2013,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.1,  ,-0.2
1/24/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,-0.2,-0.2,-0.1
2/1/2013,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.3,  ,-0.1
2/28/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,-0.2,-0.2,-0.2
3/1/2013,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.7,  ,-0.3
3/28/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,-0.3,-0.4,-0.2
4/1/2013,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.9,  ,-0.7
4/25/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Worse Than Expected             ,% ,-0.5,-0.4,-0.3
5/1/2013,4:00:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.7,  ,-0.9
5/30/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,-0.4,-0.4,-0.5
6/27/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,0,0,-0.4
7/25/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,0.4,0.3,0
8/29/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,0.7,0.6,0.4
9/26/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,0.8,0.7,0.7
10/24/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,0.7,0.7,0.8
11/28/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,0.9,0.9,0.7
12/26/2013,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,1.2,1.1,0.9
2014/01/01,4:00:00,United Kingdom                  ,Low Volatility Expected         ,Public Sector Net Cash Requirement                                                                              ,,B  ,16.28,1,8.1
2014/01/30,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,1.6,,1.5
2014/02/27,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,1.4,,1.6
2014/03/27,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,1.5,1.5,1.4
2014/04/24,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,1.6,,1.5
2014/05/29,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,3.4,,1.6
2014/06/26,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,3.7,,3.4
2014/07/24,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,3.6,,3.7
2014/08/28,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,3.4,,3.6
2014/09/25,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Worse Than Expected             ,% ,3.3,3.4,3.4
2014/10/30,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,3.2,3.2,3.3
2014/11/27,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Worse Than Expected             ,% ,2.9,3,3.2
2014/12/25,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,2.4,,2.9
2015/01/29,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Better Than Expected            ,% ,2.4,2.3,2.4
2015/02/26,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,2.4,2.4,2.4
2015/03/26,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,2.2,,2.4
2015/04/30,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,2.3,,2.2
2015/05/28,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.6,0.6,2.3
2015/06/25,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Better Than Expected            ,% ,0.5,0.4,0.6
2015/07/30,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Better Than Expected            ,% ,0.4,0.3,0.5
2015/08/27,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.2,0.2,0.4
2015/09/24,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Better Than Expected            ,% ,0.2,-0.1,0.2
2015/10/29,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Worse Than Expected             ,% ,0,0.1,0.2
2015/11/26,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Better Than Expected            ,% ,0.3,0,0
2015/11/27,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,,% ,1.2,,1.2
2015/12/24,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,0.3
2015/12/25,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,1.2,1.2,1.2
2016/01/28,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.2,0.2,0.3
2016/01/29,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,1.3,1.3,1.2
2016/02/25,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0,0,0.2
2016/02/26,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,1.1,1.2,1.3
2016/03/24,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Better Than Expected            ,% ,0.3,0,0
2016/03/25,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,1.1,1.1,1.1
2016/04/27,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Worse Than Expected             ,% ,-0.1,0,0.3
2016/04/28,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,1.1,1.2,1.1
2016/05/26,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,-0.3,-0.3,-0.1
2016/05/27,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,0.9,1,1.1
2016/06/30,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,-0.4,,-0.3
2016/07/01,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,0.8,0.8,0.9
2016/07/28,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,-0.4,-0.4,-0.4
2016/07/29,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Better Than Expected            ,% ,0.8,0.7,0.8
2016/08/25,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,-0.4,-0.4,-0.4
2016/08/26,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,,% ,0.5,,0.8
2016/09/29,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,-0.5,-0.5,-0.4
2016/09/30,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,0.4,0.6,0.5
2016/10/27,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,-0.5,-0.5,-0.5
2016/10/28,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,0.2,0.3,0.4
2016/11/24,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0.1,,-0.5
2016/11/25,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,0.2
2016/12/26,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,0.5,,0.1
2016/12/27,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,0.2,0.2,0.3
2017/01/26,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Better Than Expected            ,% ,0.3,0.2,0.5
2017/01/27,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,0.1,0.1,0.2
2017/03/02,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,0.3
2017/03/07,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,,% ,0.2,,0.1
2017/03/30,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,0.4
2017/04/04,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,0.1,0.2,0.2
2017/04/27,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Worse Than Expected             ,% ,0.2,0.3,0.3
2017/05/02,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.2,0.1
2017/05/25,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,0.2
2017/05/30,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,,% ,0.2,,-0.1
2017/06/29,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Worse Than Expected             ,% ,0.4,0.5,0.4
2017/07/04,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,0.2
2017/07/27,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,0.4
2017/08/01,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Better Than Expected            ,% ,0.3,0.2,0.3
2017/08/24,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,0.4
2017/08/29,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Better Than Expected            ,% ,0.4,0.2,0.3
2017/09/28,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.7,0.7,0.4
2017/10/03,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,,% ,0.6,,0.4
2017/10/26,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.7,0.7,0.7
2017/10/31,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,0.5,0.5,0.6
2017/11/30,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,In Line with Expectation        ,% ,0.2,0.2,0.7
2017/12/05,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,0.5,0.5,0.5
2017/12/25,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Better Than Expected            ,% ,0.6              ,0.50,0.20
2017/12/28,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,,% ,0.6              ,,0.50
2018/01/25,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Worse Than Expected             ,% ,1.0              ,1.10,0.60
2018/01/30,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Better Than Expected            ,% ,0.7              ,0.50,0.60
2018/02/22,19:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,Better Than Expected            ,% ,1.4              ,1.30,1.00
2018/02/22,19:30:00,Japan                           ,Moderate Volatility Expected    ,National CPI                                                                                                    ,,% ,0.4              ,,0.20
2018/02/27,1:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Better Than Expected            ,% ,0.8              ,0.60,0.70
2018/03/22,19:30:00,Japan                           ,Moderate Volatility Expected    ,National CPI                                                                                                    ,,% ,0.1              ,,0.40
2018/03/27,1:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Better Than Expected            ,% ,0.8              ,0.70,0.80
2018/04/19,19:30:00,Japan                           ,Moderate Volatility Expected    ,National CPI                                                                                                    ,,% ,-0.4             ,,1.00
2018/04/24,1:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,0.7              ,0.70,0.80
2018/05/17,19:30:00,Japan                           ,Moderate Volatility Expected    ,National CPI                                                                                                    ,,% ,-0.4             ,,-0.40
2018/05/22,1:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,0.5              ,0.60,0.70
2018/06/21,19:30:00,Japan                           ,Moderate Volatility Expected    ,National CPI                                                                                                    ,,% ,0.1              ,,-0.40
2018/06/26,1:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,0.5              ,0.60,0.50
2018/07/19,19:30:00,Japan                           ,Moderate Volatility Expected    ,National CPI                                                                                                    ,,% ,0.1              ,,0.10
2018/07/24,1:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,0.4              ,0.60,0.50
2018/08/23,19:30:00,Japan                           ,Moderate Volatility Expected    ,National CPI                                                                                                    ,,% ,0.3              ,,0.10
2018/08/28,1:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Better Than Expected            ,% ,0.5              ,0.30,0.40
2018/09/20,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,1.3              ,,0.90
2018/09/26,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,0.5              ,0.60,0.50
2018/10/18,18:30:00,Japan                           ,Low Volatility Expected         ,National CPI                                                                                                    ,,% ,1.2              ,,1.30
2018/10/23,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,0.5              ,0.50,0.50
2018/11/21,18:30:00,Japan                           ,Moderate Volatility Expected    ,National CPI                                                                                                    ,,% ,0.2              ,,0.00
2018/11/27,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Better Than Expected            ,% ,0.6              ,0.50,0.50
2018/12/20,18:30:00,Japan                           ,Moderate Volatility Expected    ,National CPI                                                                                                    ,,% ,-0.2             ,,0.20
2018/12/26,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,0.5              ,0.60,0.60
2019/01/01,19:00:00,Singapore                       ,Low Volatility Expected         ,GDP                                                                                                             ,Worse Than Expected             ,% ,1.6,2.9,evised From 3.0
2019/01/17,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Worse Than Expected             ,% ,0.7,0.8,0.9
2019/01/22,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,,% ,0.4,,0.5
2019/01/24,18:30:00,Japan                           ,Moderate Volatility Expected    ,Tokyo Core CPI                                                                                                  ,Better Than Expected            ,% ,1.1,0.9,0.9
2019/02/21,19:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,0.8,0.8,0.7
2019/02/26,1:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Worse Than Expected             ,% ,0.5,0.6,0.4
2019/02/28,19:30:00,Japan                           ,Moderate Volatility Expected    ,Tokyo Core CPI                                                                                                  ,Better Than Expected            ,% ,1.1,1,1.1
2019/03/21,19:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Worse Than Expected             ,% ,0.7,0.8,0.8
2019/03/26,1:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,,% ,0.4,,0.5
2019/03/28,19:30:00,Japan                           ,Moderate Volatility Expected    ,Tokyo Core CPI                                                                                                  ,In Line with Expectation        ,% ,1.1,1.1,1.1
2019/04/18,19:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,Better Than Expected            ,% ,0.8,0.7,0.7
2019/04/23,1:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,0.5,0.5,0.4
2019/04/25,19:30:00,Japan                           ,Moderate Volatility Expected    ,Tokyo Core CPI                                                                                                  ,Better Than Expected            ,% ,1.3,1.1,1.1
2019/05/23,19:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,0.9,0.9,0.8
2019/05/28,1:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,,% ,0.7,,0.5
2019/05/30,19:30:00,Japan                           ,Moderate Volatility Expected    ,Tokyo Core CPI                                                                                                  ,Worse Than Expected             ,% ,1.1,1.2,1.3
2019/06/20,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,0.8,0.8,0.9
2019/06/25,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,Better Than Expected            ,% ,0.7,0.6,0.7
2019/06/27,18:30:00,Japan                           ,Moderate Volatility Expected    ,Tokyo Core CPI                                                                                                  ,Worse Than Expected             ,% ,0.9,1,1.1
2019/07/18,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,0.6,0.6,0.8
2019/07/23,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,In Line with Expectation        ,% ,0.6,0.6,0.7
2019/07/25,18:30:00,Japan                           ,Moderate Volatility Expected    ,Tokyo Core CPI                                                                                                  ,Better Than Expected            ,% ,0.9,0.8,0.9
2019/08/22,18:30:00,Japan                           ,Moderate Volatility Expected    ,National Core CPI                                                                                               ,In Line with Expectation        ,% ,0.6,0.6,0.6
2019/08/27,0:00:00,Japan                           ,Low Volatility Expected         ,BoJ Core CPI                                                                                                    ,,% ,0.6,,0.6
2019/08/29,18:30:00,Japan                           ,Moderate Volatility Expected    ,Tokyo Core CPI                                                                                                  ,Worse Than Expected             ,% ,0.7,0.8,0.9
