1/1/2011,4:00:00,United Kingdom                  ,Low Volatility Expected         ,Average Earnings ex Bonus                                                                                       ,,% ,2.2,,2.3
5/28/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.6,4.5,4.5
6/28/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.4,4.6,4.6
7/30/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.3,4.4,4.4
8/30/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.3,4.3,4.3
9/27/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.2,4.3,4.3
10/29/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.2,4.2,4.2
11/29/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.2,4.2,4.2
12/27/2012,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.1,4.2,4.2
1/31/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.2,4.1,4.1
2/28/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.2,4.2,vised From 4.2
3/28/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.3,4.2,4.2
4/29/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,4.1,4.3,4.3
5/30/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.1,4.1,4.1
6/27/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4.1,4,4.1
7/29/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.9,4,4.1
8/29/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.8,3.9,3.9
9/30/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4.1,3.8,3.8
10/28/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,4,4,4.1
11/28/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4,3.9,4
12/26/2013,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,4,3.9,4
2014/01/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.7,3.9,4
2014/02/27,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.7,3.7,3.7
2014/03/27,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.6,3.7,3.7
2014/05/01,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.6,3.6,3.6
2014/05/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.6,3.6,3.6
2014/06/26,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.5,3.6,3.6
2014/07/28,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.7,3.5,3.5
2014/08/28,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.8,3.7,3.7
2014/09/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.5,3.8,3.8
2014/10/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.6,3.6,3.5
2014/11/27,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.5,3.6,3.6
2014/12/25,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.5,3.5,3.5
2015/01/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.4,3.5,3.5
2015/02/26,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.6,3.4,3.4
2015/03/26,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.5,3.5,3.6
2015/04/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.4,3.5,3.5
2015/05/28,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.3,3.4,3.4
2015/06/25,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.3,3.3,3.3
2015/07/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.4,3.3,3.3
2015/08/27,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.3,3.4,3.4
2015/10/01,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.4,3.3,3.3
2015/10/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.4,3.4,3.4
2015/11/26,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.1,3.4,3.4
2015/12/24,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.3,3.2,3.1
2016/01/28,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.3,3.3,3.3
2016/02/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.2,3.3,3.3
2016/03/28,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.3,3.2,3.2
2016/04/27,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.2,3.3,3.3
2016/05/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.2,3.2,3.2
2016/06/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.2,3.2,3.2
2016/07/28,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3.1,3.2,3.2
2016/08/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3,3.1,3.1
2016/09/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.1,3,3
2016/10/27,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,3,3.1,3.1
2016/11/28,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3,3,3
2016/12/26,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.1,3,3
2017/01/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3.1,3.1,3.1
2017/03/02,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,3,3,3.1
2017/03/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.8,3,3
2017/04/27,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.8,2.9,2.8
2017/05/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.8,2.8,2.8
2017/06/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,3.1,2.8,2.8
2017/07/27,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.8,3,3.1
2017/08/28,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.8,2.8,2.8
2017/09/28,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.8,2.8,2.8
2017/10/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.8,2.8,2.8
2017/11/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.8,2.8,2.8
2017/12/25,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.7              ,2.80,2.80
2018/01/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,2.8              ,2.70,2.70
2018/03/01,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.4              ,2.70,2.80
2018/03/29,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.5              ,2.60,2.40
2018/04/26,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.5              ,2.50,2.50
2018/05/28,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.5              ,2.50,2.50
2018/06/28,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.2              ,2.50,2.50
2018/07/30,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,2.4              ,2.30,2.20
2018/08/30,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,2.5              ,2.40,2.40
2018/09/27,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.4              ,2.50,2.50
2018/10/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.3              ,2.40,2.40
2018/11/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,2.4              ,2.30,2.30
2018/12/27,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,2.5              ,2.40,2.40
2019/01/31,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.4,2.4,2.5
2019/02/28,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,2.5,2.4,2.4
2019/03/28,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.3,2.5,2.5
2019/04/25,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,2.5,2.4,2.3
2019/05/30,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.4,2.4,2.5
2019/06/27,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.4,2.4,2.4
2019/07/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.3,2.4,2.4
2019/08/29,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.2,2.4,2.3
2019/09/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.2,2.3,2.2
2019/10/31,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,2.4,2.3,2.2
2019/11/28,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.4,2.4,2.4
2019/12/26,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.2,2.4,2.4
2020/01/30,18:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.2,2.3,2.2
2020/02/27,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,2.4,2.2,2.2
2020/03/30,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.4,2.4,2.4
2020/04/27,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,In Line with Expectation        ,% ,2.5,2.5,2.4
2020/05/28,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.6,2.7,2.5
2020/06/29,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Worse Than Expected             ,% ,2.9,2.8,2.6
2020/07/30,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.8,3.1,2.9
2020/08/31,19:30:00,Japan                           ,Low Volatility Expected         ,Unemployment Rate                                                                                               ,Better Than Expected            ,% ,2.9,3,2.8
