1/1/2011,4:00:00,United Kingdom                  ,Low Volatility Expected         ,Average Earnings ex Bonus                                                                                       ,,% ,2.2,,2.3
2014/02/16,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.3,0.7,0.3
2014/03/09,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.2,0.3,0.3
2014/05/14,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.5,1,vised From 0.2
2014/06/08,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.6,1.4,1.5
2014/08/12,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,-1.7,-1.8,vised From 1.6
2014/09/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,-1.8,-1.8,-1.7
2014/11/16,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.4,0.5,vised From -1.8
2014/12/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.5,-0.1,-0.4
2015/02/15,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.6,0.9,-0.5
2015/03/08,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.4,0.6,0.6
2015/05/19,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.6,0.4,vised From 0.4
2015/06/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1,0.7,0.6
2015/08/16,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,-0.4,-0.5,evised From 1.0
2015/09/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,-0.3,-0.4,-0.4
2015/11/15,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.1,-0.3
2015/12/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.3,0,evised From -0.2
2016/02/14,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.4,-0.3,0.3
2016/03/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,-0.3,-0.4,-0.4
2016/05/17,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.4,0.1,evised From -0.3
2016/06/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,0.5,0.5,0.4
2016/08/14,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0,0.2,0.5
2016/09/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.2,0,0
2016/11/13,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.5,0.2,0.2
2016/12/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.3,0.6,0.5
2017/02/12,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.2,0.3,0.3
2017/03/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.3,0.4,0.2
2017/05/17,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.5,0.4,0.3
2017/06/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.3,0.6,0.5
2017/08/13,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1,0.6,evised From 0.3
2017/09/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.6,0.7,1
2017/11/14,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.6
2017/12/07,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.6,0.4,0.3
2018/02/13,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.1              ,0.20,0.60
2018/03/07,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.4              ,0.20,0.10
2018/05/15,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.2             ,0.00,evised From 0.4
2018/06/07,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.2             ,-0.10,-0.20
2018/08/09,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.5              ,0.30,-0.20
2018/09/09,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,0.7              ,0.70,0.50
2018/11/13,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,-0.3             ,-0.30,evised From 0.7
2018/12/09,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.6             ,-0.50,-0.30
2019/01/01,19:00:00,Singapore                       ,Low Volatility Expected         ,GDP                                                                                                             ,Worse Than Expected             ,% ,1.6,2.9,evised From 3.0
2019/02/13,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.3,0.4,evised From -0.6
2019/03/07,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.5,0.4,0.3
2019/05/19,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.5,-0.1,evised From 0.5
2019/06/09,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.6,0.5,0.5
2019/08/08,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.4,0.1,0.6
2019/09/08,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,0.4
2019/11/13,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,evised From 0.3
2019/12/08,18:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,0.4,0.2,0.1
2020/02/16,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-1.6,-0.9,evised From 0.4
2020/03/08,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-1.8,-1.7,-1.6
2020/05/17,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,-0.9,-1.2,evised From -1.8
2020/06/07,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-0.6,-0.5,-0.9
2020/08/02,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,-0.6,-1.1,-0.6
2020/08/16,19:50:00,Japan                           ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,-7.8,-7.6,-0.6
